Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ERR1674593_STAR_aln	21547799.0	199.0	3131215.0	14.53	199.04	1922825.0	1788476.0	1908946.0	8220.0	75.0	5584.0	0.3	0.02	1.59	0.01	1.78	0.0	0.0	1553983.0	7.21	0.0	71.87	6.39	0	15485754	1376847
ERR1674594_STAR_aln	20193926.0	199.0	6159553.0	30.5	199.01	4259867.0	3904727.0	4219025.0	26316.0	1097.0	13429.0	0.32	0.05	1.68	0.01	1.5	0.0	0.0	1935941.0	9.59	0.0	52.81	7.1	0	10664634	1433798
ERR1674595_STAR_aln	19347597.0	199.0	5524366.0	28.55	198.96	4061573.0	3655836.0	4020144.0	26996.0	1064.0	13369.0	0.31	0.05	1.66	0.01	1.46	0.0	0.0	1153478.0	5.96	0.0	61.2	4.29	0	11839806	829947
ERR1674596_STAR_aln	18789167.0	199.0	3322644.0	17.68	199.0	2269885.0	2043500.0	2244973.0	17275.0	433.0	7204.0	0.32	0.05	1.59	0.01	1.49	0.0	0.0	785707.0	4.18	0.0	71.9	6.24	0	13508455	1172361
ERR225719_STAR_aln	6939277.0	199.0	5404062.0	77.88	199.09	2475774.0	2285346.0	2417490.0	53737.0	118.0	4429.0	0.23	0.01	1.68	0.01	1.34	0.0	0.0	1196081.0	17.24	0.0	4.87	0.02	0	337747	1387
ERR225720_STAR_aln	6613700.0	199.0	4615293.0	69.78	198.85	2757522.0	2520389.0	2688839.0	63382.0	146.0	5155.0	0.26	0.01	1.71	0.01	1.36	0.0	0.0	1567366.0	23.7	0.0	6.49	0.03	0	429058	1983
ERR225721_STAR_aln	10372118.0	199.0	6830333.0	65.85	198.88	4090370.0	3719369.0	3991520.0	91522.0	202.0	7126.0	0.27	0.01	1.83	0.0	1.42	0.0	0.0	2939083.0	28.34	0.0	5.79	0.02	0	600627	2075
ERR225722_STAR_aln	10763353.0	199.0	7724260.0	71.76	198.91	4503672.0	4038914.0	4385375.0	107434.0	262.0	10601.0	0.22	0.01	1.47	0.0	1.33	0.0	0.0	2489137.0	23.13	0.0	5.05	0.06	0	543499	6457
ERR225723_STAR_aln	7863657.0	199.0	5774740.0	73.44	198.93	3465108.0	3116418.0	3377193.0	80076.0	165.0	7674.0	0.25	0.01	1.44	0.0	1.28	0.0	0.0	1631795.0	20.75	0.0	5.76	0.05	0	453188	3934
ERR225724_STAR_aln	11422663.0	199.0	8290001.0	72.58	198.92	4983437.0	4509744.0	4857870.0	115087.0	291.0	10189.0	0.27	0.01	1.45	0.0	1.3	0.0	0.0	2295069.0	20.09	0.0	7.28	0.05	0	831880	5713
ERR225725_STAR_aln	11895439.0	199.0	7763927.0	65.27	197.44	4277319.0	3593334.0	4136983.0	108662.0	202.0	31472.0	0.5	0.02	3.12	0.01	3.28	0.0	0.0	2711703.0	22.8	0.0	11.83	0.11	0	1406729	13080
ERR225726_STAR_aln	7170755.0	199.0	4640131.0	64.71	197.58	2540888.0	2154642.0	2455518.0	67339.0	112.0	17919.0	0.48	0.03	3.27	0.01	3.36	0.0	0.0	1760823.0	24.56	0.0	10.65	0.09	0	763350	6451
ERR225727_STAR_aln	10692237.0	199.0	7118985.0	66.58	198.02	3810338.0	3352912.0	3695145.0	95989.0	171.0	19033.0	0.41	0.04	3.56	0.02	3.73	0.0	0.0	2608448.0	24.4	0.0	8.95	0.07	0	957317	7487
ERR225728_STAR_aln	6286843.0	199.0	4293029.0	68.29	198.3	2456792.0	2171721.0	2388930.0	57898.0	111.0	9853.0	0.34	0.01	2.13	0.01	2.24	0.0	0.0	1419985.0	22.59	0.0	9.07	0.06	0	570058	3771
ERR225729_STAR_aln	9713140.0	199.0	6724765.0	69.23	198.4	3853192.0	3407937.0	3745502.0	93128.0	177.0	14385.0	0.33	0.02	2.04	0.01	2.1	0.0	0.0	2065544.0	21.27	0.0	9.42	0.08	0	915060	7771
ERR225730_STAR_aln	6395794.0	199.0	4361102.0	68.19	198.62	2519039.0	2258690.0	2450800.0	60930.0	95.0	7214.0	0.29	0.02	2.3	0.01	2.24	0.0	0.0	1585496.0	24.79	0.0	6.94	0.08	0	444077	5119
ERR337915_STAR_aln	5530477.0	199.0	4483318.0	81.07	199.07	1720375.0	1573192.0	1685579.0	30888.0	177.0	3731.0	0.22	0.01	1.37	0.01	1.13	0.0	0.0	953138.0	17.23	0.0	1.7	0.0	0	94021	0
ERR337928_STAR_aln	1324821.0	199.0	1133598.0	85.57	199.1	424393.0	384537.0	415073.0	8617.0	19.0	684.0	0.2	0.01	1.36	0.01	1.12	0.0	0.0	169533.0	12.8	0.0	1.64	0.0	0	21690	0
ERR337940_STAR_aln	5827811.0	199.0	5085557.0	87.26	199.17	1963619.0	1787522.0	1920970.0	38674.0	243.0	3732.0	0.23	0.01	1.42	0.0	1.13	0.0	0.0	674887.0	11.58	0.0	1.15	0.0	0	67367	0
ERR337952_STAR_aln	18796917.0	199.0	10740117.0	57.14	198.76	5380498.0	4837629.0	5249062.0	105412.0	1038.0	24986.0	0.25	0.01	1.44	0.0	1.42	0.0	0.0	6565650.0	34.93	0.0	7.93	0.0	0	1491150	0
ERR337964_STAR_aln	17569829.0	199.0	9614885.0	54.72	198.85	4775889.0	4285378.0	4666199.0	91244.0	795.0	17651.0	0.25	0.01	1.45	0.0	1.49	0.0	0.0	6585141.0	37.48	0.0	7.77	0.03	0	1364535	5268
ERR337976_STAR_aln	456539.0	199.0	303975.0	66.58	199.27	124544.0	112587.0	123021.0	1362.0	4.0	157.0	0.22	0.01	1.38	0.0	1.06	0.0	0.0	149614.0	32.77	0.0	0.64	0.01	0	2905	45
ERR570498_STAR_aln	7610552.0	199.0	6554201.0	86.12	199.56	4179798.0	4030664.0	4147237.0	23759.0	2241.0	6561.0	0.17	0.01	1.99	0.01	1.63	0.0	0.0	844309.0	11.09	0.0	1.21	1.57	0	92292	119750
ERR570522_STAR_aln	7636283.0	199.0	6575974.0	86.11	199.56	4201467.0	4051341.0	4168810.0	24023.0	2112.0	6522.0	0.16	0.02	2.01	0.01	1.63	0.0	0.0	848646.0	11.11	0.0	1.21	1.56	0	92459	119204
ERR572959_STAR_aln	6206523.0	199.0	3685111.0	59.37	199.52	2425002.0	2340136.0	2406328.0	12561.0	1318.0	4795.0	0.18	0.01	1.97	0.01	1.71	0.0	0.0	2063122.0	33.24	0.0	1.06	6.32	0	65825	392465
ERR572983_STAR_aln	2109725.0	199.0	923190.0	43.76	199.67	244971.0	236735.0	242140.0	1437.0	800.0	594.0	0.15	0.01	1.94	0.01	1.68	0.0	0.0	989557.0	46.9	0.0	0.25	9.08	0	5278	191700
ERR573001_STAR_aln	4920054.0	199.0	4173437.0	84.83	199.52	2710154.0	2612658.0	2688583.0	15267.0	1722.0	4582.0	0.16	0.02	2.03	0.01	1.79	0.0	0.0	544642.0	11.07	0.0	2.53	1.58	0	124330	77645
ERR573016_STAR_aln	6369033.0	199.0	4759155.0	74.72	199.54	3239811.0	3127296.0	3214691.0	17907.0	2162.0	5051.0	0.15	0.01	2.05	0.01	1.79	0.0	0.0	1252259.0	19.66	0.0	2.41	3.2	0	153630	203989
ERR573025_STAR_aln	4869506.0	199.0	4131545.0	84.85	199.52	2681550.0	2585366.0	2660209.0	15253.0	1671.0	4417.0	0.15	0.02	2.06	0.01	1.8	0.0	0.0	539247.0	11.07	0.0	2.52	1.56	0	122735	75979
ERR573040_STAR_aln	6304112.0	199.0	4711101.0	74.73	199.54	3210611.0	3098200.0	3185992.0	17534.0	2197.0	4888.0	0.15	0.01	2.05	0.01	1.79	0.0	0.0	1246289.0	19.77	0.0	2.41	3.09	0	151927	194795
ERR578141_STAR_aln	5837794.0	199.0	4532302.0	77.64	199.51	2929561.0	2825859.0	2905376.0	15850.0	1628.0	6707.0	0.18	0.01	2.01	0.01	1.79	0.0	0.0	1055484.0	18.08	0.0	1.68	2.61	0	97905	152103
ERR578154_STAR_aln	7528585.0	199.0	5755117.0	76.44	199.54	3830600.0	3699941.0	3800501.0	21296.0	2644.0	6159.0	0.17	0.02	2.04	0.01	1.74	0.0	0.0	1432660.0	19.03	0.0	1.16	3.37	0	87271	253537
ERR578165_STAR_aln	5880235.0	199.0	4565394.0	77.64	199.5	2948893.0	2843792.0	2924675.0	15917.0	1625.0	6676.0	0.21	0.01	1.99	0.01	1.78	0.0	0.0	1053331.0	17.91	0.0	1.69	2.76	0	99315	162195
ERR578178_STAR_aln	7602575.0	199.0	5814509.0	76.48	199.53	3869712.0	3737678.0	3839513.0	21361.0	2651.0	6187.0	0.21	0.01	2.03	0.01	1.75	0.0	0.0	1424717.0	18.74	0.0	1.17	3.61	0	88937	274412
