Genes	monophyletic_group_code	Species
DILT_0000243501, DILT_0000149501, DILT_0000235601, DILT_0000430401, DILT_0000911101	F970_DPY_G1	D. latum
DILT_0001952701, DILT_0000152501	F981_DPY_G1	D. latum
DILT_0001323201, DILT_0000152901	F984_DPY_G1	D. latum
DILT_0001535101, DILT_0001081501, DILT_0000154401	F994_DPY_G1	D. latum
DILT_0001776901, DILT_0000157901	F1007_DPY_G1	D. latum
DILT_0001867101, DILT_0000735501, DILT_0001687601, DILT_0000160501	F1016_DPY_G1	D. latum
DILT_0000647401, DILT_0000518201, DILT_0000163401	F1017_DPY_G1	D. latum
DILT_0001073001, DILT_0000164101	F1019_DPY_G1	D. latum
DILT_0000165801, DILT_0001579901	F1021_DPY_G1	D. latum
DILT_0000166501, DILT_0000816101, DILT_0001263801	F1022_DPY_G1	D. latum
DILT_0001757201, DILT_0000168701	F1024_DPY_G1	D. latum
DILT_0000174701, DILT_0001187801, DILT_0000463701	F1028_DPY_G1	D. latum
DILT_0001351801, DILT_0000175001	F1029_DPY_G1	D. latum
DILT_0000177101, DILT_0001185901	F1031_DPY_G1	D. latum
DILT_0000179101, DILT_0001669901	F1033_DPY_G1	D. latum
DILT_0000179801, DILT_0001396401	F1034_DPY_G1	D. latum
DILT_0000181801, DILT_0001045501	F1038_DPY_G1	D. latum
DILT_0000187501, DILT_0000190101	F1042_DPY_G1	D. latum
DILT_0000641201, DILT_0001212701, DILT_0000377301, DILT_0000193701	F1046_DPY_G1	D. latum
DILT_0000200701, DILT_0001325701	F1051_DPY_G1	D. latum
DILT_0000201401, DILT_0000687001	F1053_DPY_G1	D. latum
DILT_0000205301, DILT_0001345901	F1058_DPY_G1	D. latum
DILT_0000210501, DILT_0001373301	F1062_DPY_G1	D. latum
DILT_0000229701, DILT_0001632001	F1401_DPY_G1	D. latum
DILT_0000238701, DILT_0000615801, DILT_0000906901, DILT_0000259601, DILT_0001667301, DILT_0001274601	F1954_DPY_G1	D. latum
DILT_0001834701, DILT_0000239201	F1995_DPY_G1	D. latum
DILT_0000349901, DILT_0000240001	F2047_DPY_G1	D. latum
DILT_0000242701, DILT_0000714101	F2225_DPY_G1	D. latum
DILT_0000519301, DILT_0000255201	F3001_DPY_G1	D. latum
DILT_0000260601, DILT_0000656201	F3267_DPY_G1	D. latum
DILT_0000272801, DILT_0000262701	F3386_DPY_G1	D. latum
DILT_0001343101, DILT_0000818901, DILT_0001956401, DILT_0000658101, DILT_0000758701, DILT_0001208301, DILT_0001422501, DILT_0000374601, DILT_0001229801, DILT_0000264701, DILT_0001749201, DILT_0001758001, DILT_0001957101	F3503_DPY_G1	D. latum
DILT_0000277901, DILT_0000310001	F4215_DPY_G1	D. latum
DILT_0000701901, DILT_0000281401	F4419_DPY_G1	D. latum
DILT_0000374701, DILT_0000531101, DILT_0000645301, DILT_0000910201, DILT_0000608101, DILT_0000602501, DILT_0001119601, DILT_0000282701	F4490_DPY_G1	D. latum
DILT_0000283301, DILT_0001003701	F4526_DPY_G1	D. latum
DILT_0001740301, DILT_0000284501	F4605_DPY_G1	D. latum
DILT_0000286601, DILT_0001118201, DILT_0001874601	F4688_DPY_G1	D. latum
DILT_0000294201, DILT_0000559801	F5001_DPY_G1	D. latum
DILT_0000297501, DILT_0000322701	F5144_DPY_G1	D. latum
DILT_0000565301, DILT_0000320601	F6185_DPY_G1	D. latum
DILT_0000322601, DILT_0000569101	F6278_DPY_G1	D. latum
DILT_0000349701, DILT_0000329601	F6526_DPY_G1	D. latum
DILT_0000483201, DILT_0000330801	F6593_DPY_G1	D. latum
DILT_0000344901, DILT_0000604201	F7080_DPY_G1	D. latum
DILT_0000517801, DILT_0000345101	F7094_DPY_G1	D. latum
DILT_0000351801, DILT_0000755601	F7370_DPY_G1	D. latum
DILT_0000372901, DILT_0000869901	F8088_DPY_G1	D. latum
DILT_0001289701, DILT_0000384301, DILT_0001439701	F8431_DPY_G1	D. latum
DILT_0000386001, DILT_0000928901	F8468_DPY_G1	D. latum
DILT_0000915401, DILT_0000389801, DILT_0000429901	F8562_DPY_G1	D. latum
DILT_0001047501, DILT_0000835201, DILT_0000391201	F8606_DPY_G1	D. latum
DILT_0001802401, DILT_0000391801	F8621_DPY_G1	D. latum
DILT_0000753001, DILT_0000396501	F8721_DPY_G1	D. latum
DILT_0000401601, DILT_0000500901	F8870_DPY_G1	D. latum
DILT_0000405801, DILT_0000825301	F8990_DPY_G1	D. latum
DILT_0000516101, DILT_0000409501, DILT_0000561601	F9104_DPY_G1	D. latum
DILT_0001214901, DILT_0000692501, DILT_0000410601	F9126_DPY_G1	D. latum
DILT_0000417101, DILT_0000626801	F9313_DPY_G1	D. latum
DILT_0000423101, DILT_0001458501	F9452_DPY_G1	D. latum
DILT_0001945101, DILT_0000427501	F9555_DPY_G1	D. latum
DILT_0000427801, DILT_0000776601	F9561_DPY_G1	D. latum
DILT_0000431101, DILT_0000782501, DILT_0000875201, DILT_0000492301	F9640_DPY_G1	D. latum
DILT_0000538501, DILT_0000432301	F9663_DPY_G1	D. latum
DILT_0000440701, DILT_0001167801	F9873_DPY_G1	D. latum
DILT_0000712301, DILT_0000605201, DILT_0001166801, DILT_0000442401	F9926_DPY_G1	D. latum
DILT_0000449801, DILT_0001078101	F10066_DPY_G1	D. latum
DILT_0001302301, DILT_0000451801	F10110_DPY_G1	D. latum
DILT_0000847501, DILT_0000461801	F10304_DPY_G1	D. latum
DILT_0000471101, DILT_0000547501	F10497_DPY_G1	D. latum
DILT_0000477301, DILT_0001233401	F10598_DPY_G1	D. latum
DILT_0001915901, DILT_0000550401, DILT_0000477501	F10599_DPY_G1	D. latum
DILT_0001801501, DILT_0000804501, DILT_0000480501	F10629_DPY_G1	D. latum
DILT_0001853501, DILT_0000485401	F10734_DPY_G1	D. latum
DILT_0001611601, DILT_0000486801, DILT_0000879001	F10760_DPY_G1	D. latum
DILT_0000789601, DILT_0000488101	F10777_DPY_G1	D. latum
DILT_0001530501, DILT_0001914401, DILT_0000489401	F10787_DPY_G1	D. latum
DILT_0000491001, DILT_0000687601	F10825_DPY_G1	D. latum
DILT_0001261101, DILT_0000492101	F10842_DPY_G1	D. latum
DILT_0001122601, DILT_0000496501	F10907_DPY_G1	D. latum
DILT_0000507401, DILT_0000507301	F11102_DPY_G1	D. latum
DILT_0000512401, DILT_0000546301	F11198_DPY_G1	D. latum
DILT_0001082601, DILT_0000514301	F11217_DPY_G1	D. latum
DILT_0000518601, DILT_0000595701	F11268_DPY_G1	D. latum
DILT_0000536801, DILT_0000829401	F11567_DPY_G1	D. latum
DILT_0000542201, DILT_0000699801	F11619_DPY_G1	D. latum
DILT_0000867401, DILT_0000553201, DILT_0000775001	F11712_DPY_G1	D. latum
DILT_0000564001, DILT_0000853001	F11813_DPY_G1	D. latum
DILT_0001155601, DILT_0000573201	F11883_DPY_G1	D. latum
DILT_0000582001, DILT_0000876801	F11982_DPY_G1	D. latum
DILT_0000582501, DILT_0000852401, DILT_0001443701, DILT_0000919101	F11986_DPY_G1	D. latum
DILT_0000617901, DILT_0000583901	F12002_DPY_G1	D. latum
DILT_0000596801, DILT_0001326201	F12115_DPY_G1	D. latum
DILT_0000609201, DILT_0000990101	F12201_DPY_G1	D. latum
DILT_0001275501, DILT_0000616101, DILT_0000669501, DILT_0001227701, DILT_0000629101	F12254_DPY_G1	D. latum
DILT_0001074801, DILT_0000620801	F12279_DPY_G1	D. latum
DILT_0000623001, DILT_0000919501	F12298_DPY_G1	D. latum
DILT_0001821201, DILT_0000626101	F12313_DPY_G1	D. latum
DILT_0000635301, DILT_0001111801	F12357_DPY_G1	D. latum
DILT_0000654201, DILT_0001199101	F12422_DPY_G1	D. latum
DILT_0000806501, DILT_0000656001	F12426_DPY_G1	D. latum
DILT_0000963501, DILT_0000664001	F12446_DPY_G1	D. latum
DILT_0000676401, DILT_0000666901	F12452_DPY_G1	D. latum
DILT_0000670101, DILT_0001541901	F12458_DPY_G1	D. latum
DILT_0000670801, DILT_0001538001	F12459_DPY_G1	D. latum
DILT_0000675601, DILT_0001180801	F12478_DPY_G1	D. latum
DILT_0000677201, DILT_0001242701	F12480_DPY_G1	D. latum
DILT_0001736101, DILT_0000691601	F12521_DPY_G1	D. latum
DILT_0000744001, DILT_0000714901	F12569_DPY_G1	D. latum
DILT_0000725901, DILT_0001459001	F12573_DPY_G1	D. latum
DILT_0001554301, DILT_0000733701, DILT_0001042901	F12583_DPY_G1	D. latum
DILT_0000736701, DILT_0001622401	F12589_DPY_G1	D. latum
DILT_0001505001, DILT_0000736901	F12590_DPY_G1	D. latum
DILT_0001948901, DILT_0000747001, DILT_0001833701, DILT_0001478201	F12605_DPY_G1	D. latum
DILT_0000750101, DILT_0000822901, DILT_0000805701	F12612_DPY_G1	D. latum
DILT_0001826201, DILT_0000757201	F12626_DPY_G1	D. latum
DILT_0001220501, DILT_0000777401	F12678_DPY_G1	D. latum
DILT_0000784701, DILT_0000935301	F12681_DPY_G1	D. latum
DILT_0000786701, DILT_0001512001	F12683_DPY_G1	D. latum
DILT_0000792001, DILT_0001825701	F12687_DPY_G1	D. latum
DILT_0000804901, DILT_0001773601	F12695_DPY_G1	D. latum
DILT_0001073201, DILT_0000805201	F12696_DPY_G1	D. latum
DILT_0001794101, DILT_0000816301	F12706_DPY_G1	D. latum
DILT_0000822001, DILT_0001723401	F12715_DPY_G1	D. latum
DILT_0000834201, DILT_0001740401	F12731_DPY_G1	D. latum
DILT_0000860701, DILT_0000927301	F12775_DPY_G1	D. latum
DILT_0000867301, DILT_0001298201	F12793_DPY_G1	D. latum
DILT_0001605301, DILT_0000876501	F12805_DPY_G1	D. latum
DILT_0001684601, DILT_0000881701	F12814_DPY_G1	D. latum
DILT_0000901101, DILT_0000901201	F12857_DPY_G1	D. latum
DILT_0001326501, DILT_0000903601	F12860_DPY_G1	D. latum
DILT_0000904301, DILT_0001683201	F12862_DPY_G1	D. latum
DILT_0001875701, DILT_0001822801, DILT_0000929101, DILT_0001954501	F12883_DPY_G1	D. latum
DILT_0001177501, DILT_0000929701	F12885_DPY_G1	D. latum
DILT_0000936101, DILT_0001455601	F12889_DPY_G1	D. latum
DILT_0001416401, DILT_0001670801	F12889_DPY_G2	D. latum
DILT_0000985601, DILT_0001396001, DILT_0000950001	F12902_DPY_G1	D. latum
DILT_0000999401, DILT_0001152101, DILT_0000959201	F12907_DPY_G1	D. latum
DILT_0001489201, DILT_0000961201	F12909_DPY_G1	D. latum
DILT_0000995401, DILT_0001924501	F12942_DPY_G1	D. latum
DILT_0000996401, DILT_0001765201	F12944_DPY_G1	D. latum
DILT_0001014601, DILT_0001123201	F12987_DPY_G1	D. latum
DILT_0001233701, DILT_0001017801	F12993_DPY_G1	D. latum
DILT_0001232201, DILT_0001020201	F13002_DPY_G1	D. latum
DILT_0001364501, DILT_0001036701	F13040_DPY_G1	D. latum
DILT_0001816101, DILT_0001060601	F13098_DPY_G1	D. latum
DILT_0001428301, DILT_0001078201	F13134_DPY_G1	D. latum
DILT_0001101701, DILT_0001950301	F13188_DPY_G1	D. latum
DILT_0001110801, DILT_0001619601, DILT_0001216001	F13207_DPY_G1	D. latum
DILT_0001114201, DILT_0001610701	F13211_DPY_G1	D. latum
DILT_0001132501, DILT_0001790701	F13226_DPY_G1	D. latum
DILT_0001160301, DILT_0001909201	F13270_DPY_G1	D. latum
DILT_0001173101, DILT_0001437401	F13280_DPY_G1	D. latum
DILT_0001186901, DILT_0001529401	F13291_DPY_G1	D. latum
DILT_0001336301, DILT_0001206401	F13315_DPY_G1	D. latum
DILT_0001217001, DILT_0001813101	F13327_DPY_G1	D. latum
DILT_0001242801, DILT_0001715301	F13348_DPY_G1	D. latum
DILT_0001238301, DILT_0001448401	F13351_DPY_G1	D. latum
DILT_0001268601, DILT_0001663601	F13367_DPY_G1	D. latum
DILT_0001874901, DILT_0001734401, DILT_0001271901	F13373_DPY_G1	D. latum
DILT_0001900101, DILT_0001287801	F13389_DPY_G1	D. latum
DILT_0001708701, DILT_0001288001	F13390_DPY_G1	D. latum
DILT_0001557501, DILT_0001288801	F13392_DPY_G1	D. latum
DILT_0001292001, DILT_0001527301	F13398_DPY_G1	D. latum
DILT_0001888301, DILT_0001294001	F13399_DPY_G1	D. latum
DILT_0001411401, DILT_0001295301	F13402_DPY_G1	D. latum
DILT_0001743901, DILT_0001301301	F13403_DPY_G1	D. latum
DILT_0001318201, DILT_0001308701, DILT_0001444201	F13405_DPY_G1	D. latum
DILT_0001323301, DILT_0001831001	F13416_DPY_G1	D. latum
DILT_0001544801, DILT_0001332901	F13417_DPY_G1	D. latum
DILT_0001382601, DILT_0001718301	F13584_DPY_G1	D. latum
DILT_0001388101, DILT_0001822301	F13635_DPY_G1	D. latum
DILT_0001416501, DILT_0001583001	F13759_DPY_G1	D. latum
